Details.Headquarters Regions.Other,Details.Headquarters Regions.New England,Details.Headquarters Regions.Greater New York Area,Details.Headquarters Regions.Midwestern US,Details.Headquarters Regions.Great Lakes,Sector.Health Care,Sector.Financials,Sector.Information Technology,Sector.Real Estate,Sector.Communication Services,Sector.Industrials,Sector.Energy,Sector.Consumer Discretionary,Sector.Consumer Staples,Sector.Materials,Sector.Other,Overview.Number of Founded Organizations,Overview.Gender.Agender,Overview.Gender.Female,Overview.Gender.Male,Overview.Gender.Non-Binary,Overview.Gender.Other,Overview.Gender.Prefer not to identify,Overview.Regions.Midwestern US,Overview.Regions.Greater New York Area,Overview.Regions.Other,Overview.Regions.Northeastern US,Overview.Regions.New England,Overview.Regions.Southern US,Overview.Regions.Great Lakes,Overview.Regions.East Coast,Overview.Regions.West Coast,Overview.Regions.Western US,Education.0.Prestigious University,Education.1.Prestigious University,Education.MBA,Education.Bachelors,Education.Masters,Education.PhD,Education.Other,Major.Engineering,Major.Business,Major.Physical/Life Science,Major.Social Science,Major.Mathematics,Major.Law,Major.Art,Major.Other,Target,Details.Years Since Founded
0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.0
0.0,0.0,1.0,0.0,0.0,,1.0,1.0,,,,,,,,1.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0
0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,1.0,1.5,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0,6.0
0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.0
1.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,21.0
0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11.0
0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.0
0.0,0.0,0.0,0.0,0.0,1.0,,,,,1.0,,,,,,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3.0
1.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0,111.0
1.0,0.0,0.0,0.0,0.0,,,1.0,,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,36.0
0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,18.0
0.0,1.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,1.0,5.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1,19.0
,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0
0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0
0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5.0
0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,20.0
0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1,24.0
0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0
0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,6.0
0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,1.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1,39.0
0.0,0.0,1.0,0.0,0.0,,,,,,1.0,,1.0,,,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,5.0,2.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1,111.0
0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,,,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,8.0
0.0,0.0,0.0,0.0,0.0,,,,,,1.0,,,,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0
0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0
0.0,0.0,0.0,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0
0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.0
0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21.0
0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,1.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,4.0,1,27.0
0.0,0.0,1.0,0.0,0.0,,,1.0,,,1.0,,,,,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0
0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,8.0
0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5.0
0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,46.0
,,,,,,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0
,,,,,,,1.0,,,1.0,,,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,35.0
0.0,0.0,0.0,0.0,1.0,,,,,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,49.0
0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.0
0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,23.0
0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,6.0
0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,26.0
0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,5.0
0.0,0.0,0.0,0.0,0.0,1.0,,,,,1.0,,,,,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1,18.0
0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0
0.0,1.0,0.0,0.0,0.0,1.0,,,,,1.0,,,,,,4.333333333333333,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1,12.0
0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,4.0,2.0,6.0,5.0,2.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0,1,22.0
0.0,1.0,0.0,0.0,0.0,,,,,,1.0,,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,30.0
,,,,,,,1.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0
0.0,0.0,1.0,0.0,0.0,1.0,,1.0,,,,,,,,,1.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1,25.0
0.0,0.0,0.0,1.0,1.0,,,,,,,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,61.0
1.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.0
0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.0
0.0,0.0,0.0,0.0,1.0,,1.0,1.0,,,1.0,,,,,1.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1,24.0
0.0,0.0,0.0,0.0,0.0,,,,,,1.0,,,,,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,7.0
0.0,0.0,0.0,1.0,1.0,,,,,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,50.0
0.0,1.0,0.0,0.0,0.0,1.0,,1.0,,,,,,,,,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0
0.0,0.0,0.0,0.0,0.0,,,1.0,,,1.0,1.0,,,,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3.0
0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,,,1.0,1.25,0.0,1.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,5.0,2.0,2.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,4.0,1,8.0
0.0,1.0,0.0,0.0,0.0,,1.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,22.0
0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,18.0
1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0
0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,25.0
0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,30.0
0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,1.5,0.0,6.0,25.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,2.0,4.0,20.0,19.0,12.0,5.0,6.0,14.0,4.0,4.0,5.0,1.0,5.0,7.0,2.0,0.0,2.0,0.0,12.0,1,11.0
0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,1.0,1.6666666666666667,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,2.0,5.0,1.0,0.0,3.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,1,19.0
0.0,0.0,0.0,1.0,1.0,,,,,,1.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,21.0
0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,1.5,0.0,6.0,25.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,2.0,4.0,20.0,19.0,12.0,5.0,6.0,14.0,4.0,4.0,5.0,1.0,5.0,7.0,2.0,0.0,2.0,0.0,12.0,1,11.0
